Sex,Age,Height,Weight,NOC,Year,Medal,sport_en
1,23.0,173.0,70.0,4,2002,3.0,34
0,24.0,172.0,67.0,4,2008,2.0,16
0,18.0,168.0,48.0,4,2008,2.0,29
1,23.0,174.0,60.0,4,2000,1.0,33
1,28.0,181.0,68.0,4,2008,2.0,3
1,32.0,181.0,68.0,4,2012,1.0,3
1,25.0,175.0,55.0,4,2016,2.0,2
0,24.0,168.0,75.0,4,2008,1.0,49
1,17.0,160.0,42.0,4,2012,1.0,14
1,21.0,160.0,42.0,4,2016,1.0,14
1,21.0,160.0,42.0,4,2016,3.0,14
1,30.0,180.0,73.0,4,2012,2.0,27
0,25.0,170.0,56.0,4,2012,2.0,41
1,24.0,178.0,74.0,4,2008,2.0,50
1,20.0,168.0,60.0,4,2016,1.0,14
1,20.0,168.0,60.0,4,2016,1.0,14
1,18.0,176.0,66.0,4,2014,3.0,34
1,19.0,175.0,62.0,4,2012,1.0,2
1,22.0,181.0,73.0,4,2008,3.0,3
0,28.0,182.0,75.0,4,2004,1.0,47
0,21.0,169.0,58.0,4,2008,2.0,1
1,23.0,188.0,81.0,4,2012,3.0,3
1,27.0,188.0,81.0,4,2016,1.0,3
0,27.0,172.0,63.0,4,2016,2.0,32
1,20.0,174.0,67.0,4,2004,1.0,42
0,28.0,164.0,52.0,4,2008,2.0,23
0,15.0,160.0,47.0,4,2008,1.0,14
0,15.0,160.0,47.0,4,2008,1.0,14
0,19.0,160.0,47.0,4,2012,1.0,14
0,19.0,160.0,47.0,4,2012,1.0,14
0,23.0,160.0,47.0,4,2016,1.0,14
0,19.0,167.0,104.0,4,2012,2.0,41
0,23.0,158.0,63.0,4,2000,1.0,49
0,25.0,152.0,49.0,4,2008,1.0,49
0,25.0,158.0,58.0,4,2004,1.0,49
0,29.0,158.0,58.0,4,2008,1.0,49
1,23.0,160.0,58.0,4,2008,1.0,21
1,23.0,160.0,58.0,4,2008,1.0,21
1,27.0,160.0,58.0,4,2012,1.0,21
1,27.0,160.0,58.0,4,2012,2.0,21
0,30.0,164.0,67.0,4,2008,1.0,33
0,34.0,164.0,67.0,4,2012,2.0,33
0,33.0,170.0,60.0,4,2008,2.0,23
0,17.0,183.0,73.0,4,2000,1.0,43
0,21.0,183.0,73.0,4,2004,1.0,43
0,20.0,152.0,43.0,4,2008,1.0,21
0,20.0,152.0,43.0,4,2008,3.0,21
0,20.0,152.0,43.0,4,2008,3.0,21
0,35.0,161.0,55.0,4,2008,2.0,23
0,26.0,165.0,65.0,4,2012,2.0,1
1,25.0,185.0,90.0,4,2016,3.0,25
0,20.0,174.0,56.0,4,2008,2.0,29
1,20.0,181.0,75.0,4,2012,3.0,40
1,21.0,178.0,70.0,4,2012,3.0,1
0,16.0,144.0,34.0,4,2008,1.0,21
0,20.0,144.0,34.0,4,2012,1.0,21
1,24.0,163.0,58.0,4,2016,3.0,21
0,23.0,159.0,63.0,4,2016,1.0,49
1,25.0,175.0,80.0,4,2012,3.0,33
0,20.0,168.0,102.0,4,2000,1.0,49
0,22.0,171.0,63.0,4,2012,2.0,42
0,22.0,171.0,63.0,4,2012,1.0,42
0,26.0,171.0,63.0,4,2016,1.0,42
0,26.0,171.0,63.0,4,2016,1.0,42
0,26.0,180.0,67.0,4,2016,1.0,47
1,27.0,180.0,74.0,4,2016,3.0,2
1,19.0,168.0,57.0,4,2008,3.0,45
1,23.0,168.0,57.0,4,2012,1.0,45
1,27.0,168.0,57.0,4,2016,2.0,45
1,26.0,178.0,75.0,4,2000,2.0,16
1,30.0,178.0,75.0,4,2004,2.0,16
0,24.0,170.0,70.0,4,2008,1.0,3
0,22.0,170.0,55.0,4,2004,1.0,33
0,26.0,170.0,55.0,4,2008,1.0,33
0,34.0,170.0,55.0,4,2016,2.0,33
0,34.0,170.0,55.0,4,2016,3.0,33
0,27.0,180.0,76.0,4,2016,3.0,30
0,20.0,170.0,55.0,4,2014,2.0,34
0,16.0,148.0,37.0,4,2016,3.0,21
0,22.0,170.0,62.0,4,2012,2.0,1
1,23.0,179.0,75.0,4,2002,3.0,34
0,25.0,183.0,75.0,4,2004,1.0,47
0,29.0,183.0,75.0,4,2008,3.0,47
0,26.0,170.0,85.0,4,2016,3.0,20
1,24.0,160.0,58.0,4,2012,1.0,21
1,24.0,160.0,58.0,4,2012,1.0,21
0,30.0,166.0,57.0,4,2008,2.0,23
1,24.0,181.0,78.0,4,2008,2.0,3
1,28.0,181.0,78.0,4,2012,1.0,3
1,32.0,181.0,78.0,4,2016,1.0,3
0,22.0,160.0,48.0,4,2000,1.0,14
0,22.0,160.0,48.0,4,2000,2.0,14
0,20.0,179.0,63.0,4,2016,3.0,40
0,37.0,168.0,56.0,4,2000,3.0,33
0,41.0,168.0,56.0,4,2004,3.0,33
0,22.0,155.0,48.0,4,2004,3.0,25
0,24.0,170.0,56.0,4,2000,3.0,33
1,24.0,170.0,64.0,4,2016,3.0,45
0,28.0,165.0,57.0,4,2008,2.0,23
0,21.0,169.0,61.0,4,2000,1.0,3
0,21.0,169.0,61.0,4,2000,3.0,3
0,25.0,169.0,61.0,4,2004,1.0,3
0,25.0,169.0,61.0,4,2004,2.0,3
0,24.0,182.0,75.0,4,2008,2.0,30
0,26.0,171.0,58.0,4,2000,1.0,3
0,25.0,165.0,65.0,4,2012,2.0,13
0,29.0,165.0,65.0,4,2016,1.0,13
0,23.0,175.0,105.0,4,2012,3.0,2
0,19.0,186.0,72.0,4,2016,1.0,47
0,23.0,163.0,52.0,4,2000,1.0,3
0,27.0,166.0,48.0,4,2008,3.0,41
0,25.0,165.0,62.0,4,2000,1.0,3
0,23.0,174.0,60.0,4,2016,2.0,41
0,22.0,171.0,68.0,4,2008,2.0,1
0,18.0,163.0,49.0,4,2000,2.0,14
0,18.0,163.0,49.0,4,2000,2.0,14
0,22.0,163.0,49.0,4,2004,1.0,14
0,22.0,163.0,49.0,4,2004,1.0,14
0,26.0,163.0,49.0,4,2008,1.0,14
0,26.0,163.0,49.0,4,2008,1.0,14
0,23.0,167.0,54.0,4,2016,2.0,41
0,22.0,170.0,70.0,4,2008,3.0,13
0,26.0,170.0,70.0,4,2012,3.0,13
0,26.0,170.0,70.0,4,2012,2.0,13
0,26.0,170.0,70.0,4,2012,2.0,13
1,18.0,177.0,68.0,4,2002,3.0,34
1,24.0,160.0,52.0,4,2012,1.0,21
0,24.0,168.0,60.0,4,2008,1.0,33
0,28.0,168.0,60.0,4,2012,1.0,33
0,26.0,157.0,60.0,4,2010,3.0,19
0,16.0,165.0,54.0,4,2004,3.0,42
0,20.0,165.0,54.0,4,2008,3.0,42
0,20.0,165.0,54.0,4,2008,1.0,42
0,24.0,165.0,54.0,4,2012,1.0,42
1,17.0,173.0,65.0,4,2014,2.0,34
1,17.0,173.0,65.0,4,2014,3.0,34
1,22.0,173.0,75.0,4,2006,1.0,19
1,23.0,179.0,69.0,4,2008,3.0,9
0,28.0,176.0,66.0,4,2016,2.0,16
1,17.0,185.0,80.0,4,2012,3.0,40
1,21.0,169.0,69.0,4,2008,1.0,14
1,25.0,169.0,69.0,4,2012,3.0,14
1,22.0,180.0,80.0,4,2008,3.0,3
0,16.0,142.0,33.0,4,2008,1.0,21
0,16.0,142.0,33.0,4,2008,1.0,21
0,20.0,142.0,33.0,4,2012,2.0,21
0,19.0,160.0,50.0,4,2008,1.0,45
0,23.0,160.0,50.0,4,2012,3.0,45
0,27.0,170.0,68.0,4,2004,2.0,1
0,21.0,159.0,51.0,4,2012,2.0,14
0,21.0,159.0,51.0,4,2012,1.0,14
0,25.0,159.0,51.0,4,2016,2.0,14
0,24.0,175.0,57.0,4,2012,2.0,43
1,30.0,180.0,75.0,4,2008,3.0,33
1,17.0,170.0,58.0,4,2000,2.0,14
