ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,region,notes
123125,Aiko Uemura,F,22.0,156.0,51.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Moguls,,Japan,
8778,"Friedrich Wilhelm ""Willi"" Baumeister",M,43.0,,,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",,Germany,
82753,Vilhelm Mller,M,26.0,,,Denmark,DEN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,,Denmark,
26343,Claude Patrik Gustaf de Laval,M,25.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Modern Pentathlon,Modern Pentathlon Men's Individual,,Sweden,
77062,Robert Emil Maysack,M,31.0,178.0,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",,USA,
37443,Hctor Dayron Fuentes Valds,M,20.0,183.0,84.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,,Cuba,
22670,Mickal Glenn Conjungo Taumhas,M,31.0,194.0,95.0,Central African Republic,CAF,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,,Central African Republic,
93175,Ettore Perego,M,35.0,,,Italy,ITA,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,,Italy,
60806,Oleg Viktorovich Kiselyov,M,25.0,199.0,105.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,Gold,Russia,
77265,Janice Leslie McCaffrey (Turner-),F,40.0,163.0,47.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 20 kilometres Walk,,Canada,
75394,William Walter Marsh,M,47.0,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",,UK,
126630,Manoel da Rocha Villar,M,19.0,,,Brazil,BRA,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Brazil,
27074,Aleksandr Alekseyevich Dekhayev,M,27.0,,,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Individual,,Russia,
84548,Daisuke Narimatsu,M,26.0,172.0,60.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,,Japan,
116667,Timo Antero Susi,M,21.0,179.0,78.0,Finland,FIN,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,,Finland,
103861,Johannes Rydzek,M,22.0,178.0,60.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",,Germany,
32512,Max Philip Emmerich,M,25.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,Gymnastics Men's Individual All-Around,,USA,
121270,Guillermo Torres Cervantes,M,25.0,168.0,60.0,Mexico,MEX,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Lightweight, Freestyle",,Mexico,
85370,Maksim Sergeyevich Nesterenko,M,23.0,193.0,82.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,,Belarus,
46341,Toshiko Haruoka,F,17.0,162.0,58.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Breaststroke,,Japan,
122267,Tsendiin Damdin,M,23.0,169.0,65.0,Mongolia,MGL,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Lightweight,Silver,Mongolia,
43030,Yevgeny Romanovich Grishin,M,28.0,174.0,78.0,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold,Russia,
98174,"Paolo Francesco ""Paul""  Radmilovic",M,26.0,180.0,76.0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Water Polo,Water Polo Men's Water Polo,Gold,UK,
37996,"James Barrett ""Jim"" Galanes",M,27.0,185.0,77.0,United States,USA,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,USA,
15666,"Thomas Edwin ""Tom"" Bruce",M,20.0,183.0,73.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,USA,
133593,Theresa Zabell Lucas,F,27.0,164.0,53.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's Two Person Dinghy,Gold,Spain,
73484,"Francis Peabody Magoun, Jr.",M,41.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Art Competitions,"Art Competitions Mixed Literature, Unknown Event",,USA,
57360,Spyros Kapralos,M,25.0,182.0,82.0,Greece,GRE,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,,Greece,
9647,Margaret Mary Bell (Ryan-Gibson),F,19.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's High Jump,,Canada,
15127,Per Jrgen Brink,M,27.0,183.0,81.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's Sprint,,Sweden,
